                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.97736,                0.45458,                0.87516,                0.96319,                0.95821,                0.98369,                0.67726,                0.95307,                 0.4191,                0.87611,               0.007492,               0.007492,               0.007492
                     78,                0.97657,                0.45553,                0.88166,                0.95828,                0.96501,                0.98288,                0.67463,                0.94522,                0.41866,                0.87284,               0.007459,               0.007459,               0.007459
                     79,                0.98212,                0.44877,                0.88211,                 0.9649,                0.93956,                0.98201,                0.66295,                 0.9575,                 0.4164,                0.87927,               0.007426,               0.007426,               0.007426
                     80,                0.96444,                0.44454,                0.87577,                0.95665,                0.95173,                0.98223,                0.67802,                0.95638,                 0.4159,                0.87708,               0.007393,               0.007393,               0.007393
                     81,                0.97624,                0.45345,                0.88004,                 0.9505,                0.96583,                0.98609,                0.67788,                0.93783,                0.40843,                0.87494,                0.00736,                0.00736,                0.00736
                     82,                 1.0003,                 0.4566,                0.87203,                0.96568,                0.96257,                0.98383,                0.67149,                0.94926,                0.41716,                 0.8773,               0.007327,               0.007327,               0.007327
                     83,                0.98628,                0.45046,                 0.8838,                0.95387,                0.96501,                0.98224,                0.67088,                0.94571,                0.41867,                0.87461,               0.007294,               0.007294,               0.007294
                     84,                0.97352,                0.44612,                 0.8803,                0.95543,                0.95931,                0.98425,                0.68034,                0.95808,                0.41854,                0.87798,               0.007261,               0.007261,               0.007261
                     85,                0.97406,                0.44483,                0.87136,                0.95563,                 0.9639,                0.98486,                0.67252,                 0.9501,                0.41243,                0.87515,               0.007228,               0.007228,               0.007228
                     86,                0.96641,                0.44656,                0.87956,                0.95937,                0.95606,                0.98692,                  0.678,                   0.95,                0.41204,                0.87317,               0.007195,               0.007195,               0.007195
                     87,                0.97236,                0.44776,                0.87566,                0.95749,                0.95525,                0.98502,                0.67511,                0.94654,                0.40994,                0.87434,               0.007162,               0.007162,               0.007162
                     88,                0.96729,                0.44507,                0.87559,                0.94569,                0.96347,                0.98215,                0.67018,                0.96279,                0.42153,                 0.8769,               0.007129,               0.007129,               0.007129
                     89,                 0.9617,                0.44364,                0.87906,                0.95638,                0.96257,                0.98392,                0.67468,                0.94165,                0.41088,                0.87337,               0.007096,               0.007096,               0.007096
                     90,                0.95748,                0.44549,                0.87385,                0.95962,                0.96013,                0.98487,                0.67526,                 0.9543,                0.41371,                0.87541,               0.007063,               0.007063,               0.007063
                     91,                0.95122,                0.43816,                 0.8705,                0.96209,                0.96501,                0.98846,                0.67255,                0.94675,                0.40841,                0.87566,                0.00703,                0.00703,                0.00703
                     92,                0.97656,                0.44182,                0.87549,                0.96026,                0.94369,                0.98161,                0.67872,                 0.9566,                0.40006,                0.87754,               0.006997,               0.006997,               0.006997
                     93,                0.94892,                0.43605,                0.86846,                0.96898,                0.95688,                0.98364,                0.67453,                0.96525,                 0.4147,                0.87668,               0.006964,               0.006964,               0.006964
                     94,                0.94603,                0.42913,                0.87286,                0.95249,                0.95525,                0.98138,                0.68081,                0.94931,                0.41842,                0.87685,               0.006931,               0.006931,               0.006931
                     95,                0.96318,                0.44252,                0.87841,                0.96322,                0.95878,                0.98461,                0.67526,                0.94985,                0.41566,                0.87802,               0.006898,               0.006898,               0.006898
                     96,                0.96615,                   0.44,                0.87262,                0.96067,                0.96257,                0.98475,                0.67489,                0.96027,                0.40979,                 0.8767,               0.006865,               0.006865,               0.006865
                     97,                0.96415,                0.44295,                0.87359,                0.96034,                0.96542,                0.98728,                0.67049,                0.96584,                0.41807,                0.87708,               0.006832,               0.006832,               0.006832
                     98,                0.95709,                0.43913,                  0.872,                0.95812,                0.96807,                0.98676,                0.67829,                0.94597,                0.40393,                0.87533,               0.006799,               0.006799,               0.006799
                     99,                0.95482,                0.43498,                0.87529,                0.95877,                0.96501,                0.98179,                0.67335,                0.94684,                 0.4118,                0.87593,               0.006766,               0.006766,               0.006766
                    100,                0.93189,                0.42934,                0.86713,                0.96478,                0.95833,                0.98258,                 0.6775,                0.96123,                  0.411,                0.87746,               0.006733,               0.006733,               0.006733
                    101,                0.95447,                0.42844,                0.88162,                0.95473,                0.96745,                0.98253,                0.67433,                0.95346,                  0.411,                0.87658,                 0.0067,                 0.0067,                 0.0067
                    102,                0.95803,                0.43405,                0.87466,                 0.9607,                 0.9642,                0.98165,                0.67487,                0.94903,                0.40824,                0.87712,               0.006667,               0.006667,               0.006667
                    103,                0.93787,                0.42302,                0.86317,                0.95069,                0.95691,                0.98157,                0.67812,                 0.9487,                0.40167,                0.87691,               0.006634,               0.006634,               0.006634
                    104,                0.95771,                0.43327,                0.86859,                0.96274,                0.94793,                0.98351,                 0.6735,                0.95184,                0.40711,                0.87516,               0.006601,               0.006601,               0.006601
                    105,                0.95966,                0.43574,                0.87176,                 0.9694,                 0.9539,                0.98371,                0.67797,                0.93919,                0.40065,                0.87314,               0.006568,               0.006568,               0.006568
                    106,                0.94036,                0.42541,                0.87049,                0.96403,                 0.9585,                0.98321,                0.67666,                0.94815,                 0.4081,                0.87378,               0.006535,               0.006535,               0.006535
                    107,                0.93357,                0.42018,                0.86718,                0.95693,                0.96257,                0.98378,                0.68581,                0.94371,                0.40028,                0.87312,               0.006502,               0.006502,               0.006502
                    108,                0.94698,                0.43148,                0.86662,                0.96267,                 0.9652,                0.98471,                0.67557,                0.95121,                0.40662,                0.87747,               0.006469,               0.006469,               0.006469
                    109,                0.93188,                0.42758,                0.86616,                0.96282,                0.96918,                0.98734,                0.68279,                0.94108,                0.39686,                0.87388,               0.006436,               0.006436,               0.006436
                    110,                0.92475,                0.41994,                0.86714,                0.95764,                0.96664,                0.98332,                0.68028,                0.92769,                0.39755,                0.87192,               0.006403,               0.006403,               0.006403
                    111,                0.94411,                0.42501,                0.88048,                0.95969,                0.95688,                0.98257,                0.68027,                0.95696,                0.40317,                0.87511,                0.00637,                0.00637,                0.00637
                    112,                0.94038,                0.42855,                0.86496,                0.96093,                0.96048,                0.98459,                0.68793,                 0.9343,                0.39672,                0.86933,               0.006337,               0.006337,               0.006337
                    113,                0.92463,                0.42281,                0.86969,                0.95275,                0.96805,                0.98515,                0.67361,                0.94237,                0.39857,                0.86996,               0.006304,               0.006304,               0.006304
                    114,                0.94698,                0.42509,                0.87563,                0.95669,                0.96908,                0.98648,                0.67716,                0.93438,                 0.3972,                0.87016,               0.006271,               0.006271,               0.006271
                    115,                0.94866,                0.42187,                0.86829,                0.95888,                0.95769,                0.98418,                 0.6832,                0.94073,                0.40531,                0.87157,               0.006238,               0.006238,               0.006238
                    116,                0.91993,                0.42197,                0.86884,                0.94758,                0.97081,                0.98468,                 0.6798,                0.94889,                0.39866,                0.87681,               0.006205,               0.006205,               0.006205
                    117,                 0.9216,                0.41583,                0.86826,                0.96142,                0.96176,                0.98625,                0.67737,                0.94312,                0.39337,                0.87458,               0.006172,               0.006172,               0.006172
                    118,                0.92359,                0.41336,                0.86915,                0.96356,                0.95525,                0.98469,                0.67687,                0.93489,                0.38925,                0.87464,               0.006139,               0.006139,               0.006139
                    119,                0.92969,                0.41884,                0.86535,                0.95801,                0.95932,                0.98317,                0.68061,                0.93054,                0.40045,                0.87119,               0.006106,               0.006106,               0.006106
                    120,                0.93266,                0.42003,                0.86582,                0.95728,                0.97234,                0.98611,                0.69418,                0.92404,                0.40011,                0.87008,               0.006073,               0.006073,               0.006073
                    121,                0.92686,                0.42117,                 0.8666,                0.96463,                0.96338,                0.98702,                0.68139,                0.94782,                0.40469,                0.87563,                0.00604,                0.00604,                0.00604
                    122,                0.92411,                0.41539,                0.86442,                0.96177,                 0.9622,                0.98275,                0.67906,                0.94261,                0.39848,                0.87574,               0.006007,               0.006007,               0.006007
                    123,                 0.9063,                0.40607,                0.86381,                  0.966,                0.96583,                0.98308,                 0.6786,                0.94777,                0.40845,                0.87611,               0.005974,               0.005974,               0.005974
                    124,                0.91139,                 0.4157,                0.85746,                0.96392,                0.96013,                0.98308,                0.67794,                0.93581,                0.40003,                0.86806,               0.005941,               0.005941,               0.005941
                    125,                0.93285,                0.41736,                0.86871,                0.95826,                 0.9642,                0.98445,                0.68621,                0.92095,                0.39661,                0.86753,               0.005908,               0.005908,               0.005908
                    126,                0.91686,                0.41615,                0.85905,                 0.9584,                0.97315,                0.98425,                0.68648,                 0.9241,                0.40143,                0.86642,               0.005875,               0.005875,               0.005875
                    127,                 0.9122,                0.41095,                0.85915,                 0.9609,                0.96257,                0.98468,                0.69122,                0.92887,                0.39619,                0.86633,               0.005842,               0.005842,               0.005842
                    128,                0.90932,                0.41273,                0.86593,                0.94841,                0.97315,                0.98834,                0.68826,                 0.9391,                0.39405,                0.87342,               0.005809,               0.005809,               0.005809
                    129,                0.90596,                0.41105,                0.86456,                0.95203,                0.96885,                0.98662,                0.68703,                0.94015,                0.39552,                0.87473,               0.005776,               0.005776,               0.005776
                    130,                0.92468,                0.41135,                0.86623,                0.95936,                0.97152,                0.98512,                0.68563,                0.93678,                0.39294,                0.87239,               0.005743,               0.005743,               0.005743
                    131,                0.90345,                0.40938,                0.87006,                0.95741,                0.96934,                0.98428,                0.68072,                0.93441,                0.38611,                0.87262,                0.00571,                0.00571,                0.00571
                    132,                0.91853,                0.41585,                0.86205,                0.96106,                0.96393,                0.98345,                0.68753,                0.93151,                0.39453,                0.86978,               0.005677,               0.005677,               0.005677
                    133,                0.91376,                0.41384,                0.86218,                0.95732,                0.96735,                0.98335,                0.68134,                0.94328,                0.40005,                0.87209,               0.005644,               0.005644,               0.005644
                    134,                 0.9155,                0.41331,                0.86413,                0.95299,                0.96989,                0.98376,                0.68482,                0.93984,                0.39267,                0.87175,               0.005611,               0.005611,               0.005611
                    135,                0.90774,                0.40902,                 0.8656,                0.96445,                0.95932,                0.98486,                 0.6906,                0.92858,                0.38466,                0.87365,               0.005578,               0.005578,               0.005578
                    136,                0.90826,                0.41292,                0.86606,                0.96335,                 0.9642,                0.98622,                0.69196,                0.93761,                0.38922,                0.87255,               0.005545,               0.005545,               0.005545
                    137,                0.90941,                0.40851,                0.85783,                  0.962,                 0.9642,                0.98463,                0.68828,                0.93741,                0.38885,                0.87143,               0.005512,               0.005512,               0.005512
                    138,                0.90441,                0.40596,                0.85671,                0.96114,                  0.966,                0.98403,                 0.6868,                0.94916,                0.39023,                0.87493,               0.005479,               0.005479,               0.005479
                    139,                0.89157,                0.39722,                0.86076,                0.96654,                0.97071,                0.98935,                0.68762,                0.93609,                0.39228,                0.87275,               0.005446,               0.005446,               0.005446
