                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.74739,                0.39514,                0.82895,                0.91862,                0.70964,                0.76521,                0.59181,                0.59956,                0.39138,                0.82255,               0.007558,               0.007558,               0.007558
                     76,                0.74411,                0.39979,                0.83394,                0.91414,                 0.7209,                0.80446,                 0.6378,                0.60292,                0.41057,                0.81937,               0.007525,               0.007525,               0.007525
                     77,                 0.7577,                0.40104,                0.82871,                0.91767,                0.70463,                0.77826,                0.61515,                0.59041,                0.38571,                0.81783,               0.007492,               0.007492,               0.007492
                     78,                0.75514,                0.39385,                0.82464,                0.93621,                0.69798,                0.77618,                0.60348,                0.60919,                0.39131,                0.82676,               0.007459,               0.007459,               0.007459
                     79,                0.75364,                0.39746,                0.82462,                0.95396,                0.70463,                0.76793,                0.59865,                0.58944,                0.39315,                0.81644,               0.007426,               0.007426,               0.007426
                     80,                0.74888,                0.39805,                0.82228,                0.94913,                0.69086,                 0.7971,                0.63716,                0.57517,                0.38176,                0.81423,               0.007393,               0.007393,               0.007393
                     81,                0.75062,                 0.4038,                0.82329,                0.91799,                0.71089,                0.78315,                 0.6171,                0.58336,                0.39939,                 0.8114,                0.00736,                0.00736,                0.00736
                     82,                0.73795,                0.39966,                0.82939,                0.90148,                 0.7184,                0.77884,                0.60807,                0.58798,                0.39117,                0.81739,               0.007327,               0.007327,               0.007327
                     83,                0.75097,                 0.3999,                0.82637,                 0.9094,                0.70354,                0.80684,                0.64781,                0.59844,                0.39654,                0.81948,               0.007294,               0.007294,               0.007294
                     84,                0.74883,                0.39251,                0.82809,                 0.9128,                0.70713,                0.76534,                0.59072,                0.60844,                0.39722,                0.82742,               0.007261,               0.007261,               0.007261
                     85,                0.73663,                0.38599,                0.82406,                0.91694,                 0.7234,                0.78882,                0.61253,                0.58198,                0.39219,                0.81801,               0.007228,               0.007228,               0.007228
                     86,                0.74601,                0.39618,                0.83302,                0.93109,                0.71023,                0.78949,                0.61736,                0.59452,                0.40312,                 0.8173,               0.007195,               0.007195,               0.007195
                     87,                0.74318,                 0.3906,                 0.8244,                0.94406,                0.69697,                0.77755,                0.61408,                0.58785,                0.37479,                0.82773,               0.007162,               0.007162,               0.007162
                     88,                0.73744,                0.38452,                0.82926,                0.93123,                0.72591,                0.79682,                0.62294,                0.59248,                0.40031,                  0.824,               0.007129,               0.007129,               0.007129
                     89,                0.72014,                0.37864,                0.81669,                0.92387,                0.71382,                0.78465,                0.62059,                0.58987,                 0.3881,                0.82111,               0.007096,               0.007096,               0.007096
                     90,                0.71183,                0.37541,                0.82057,                0.93673,                0.70414,                0.81502,                0.65293,                0.58909,                0.38634,                0.81663,               0.007063,               0.007063,               0.007063
                     91,                0.72116,                0.39023,                0.82783,                0.93057,                0.72215,                0.77092,                0.60522,                0.57371,                0.39551,                  0.815,                0.00703,                0.00703,                0.00703
                     92,                0.73095,                0.39603,                0.82393,                0.94965,                0.70819,                0.81613,                0.65556,                0.58399,                0.37598,                0.82077,               0.006997,               0.006997,               0.006997
